Model,Accuracy,Precision,Recall,F1 Score
XGBoost,0.5116463765086995,0.5076477074662967,0.5997310528859287,0.5498608154576715
Logistic Regression,0.5085218663462041,0.5046228389669891,0.6433509129493833,0.5656045072503925
Random Forest,0.5078635247400596,0.5069051580698836,0.3840690857899271,0.4370195928418586
